"Country.Name","Income.Group","Region","Time","Time.Code","Agriculture..forestry..and.fishing..value.added....of.GDP...NV.AGR.TOTL.ZS.","Access.to.clean.fuels.and.technologies.for.cooking....of.population...EG.CFT.ACCS.ZS.","Access.to.electricity....of.population...EG.ELC.ACCS.ZS.","Account.ownership.at.a.financial.institution.or.with.a.mobile.money.service.provider....of.population.ages.15....FX.OWN.TOTL.ZS.","Adequacy.of.social.insurance.programs....of.total.welfare.of.beneficiary.households...per_si_allsi.adq_pop_tot.","Adequacy.of.social.protection.and.labor.programs....of.total.welfare.of.beneficiary.households...per_allsp.adq_pop_tot.","Adequacy.of.social.safety.net.programs....of.total.welfare.of.beneficiary.households...per_sa_allsa.adq_pop_tot.","Adequacy.of.unemployment.benefits.and.ALMP....of.total.welfare.of.beneficiary.households...per_lm_alllm.adq_pop_tot.","Adjusted.net.national.income..current.US....NY.ADJ.NNTY.CD.","Adjusted.net.national.income..annual...growth...NY.ADJ.NNTY.KD.ZG.","Adjusted.net.national.income.per.capita..current.US....NY.ADJ.NNTY.PC.CD.","Adolescent.fertility.rate..births.per.1.000.women.ages.15.19...SP.ADO.TFRT.","Adolescents.out.of.school....of.lower.secondary.school.age...SE.SEC.UNER.LO.ZS.","Age.dependency.ratio....of.working.age.population...SP.POP.DPND.","Agricultural.land..sq..km...AG.LND.AGRI.K2.","Air.transport..passengers.carried..IS.AIR.PSGR.","Air.transport..freight..million.ton.km...IS.AIR.GOOD.MT.K1.","Arable.land..hectares.per.person...AG.LND.ARBL.HA.PC.","Tax.revenue....of.GDP...GC.TAX.TOTL.GD.ZS.","GDP..current.US....NY.GDP.MKTP.CD.","GDP.per.capita..current.US....NY.GDP.PCAP.CD.","Women.Business.and.the.Law.Index.Score..scale.1.100...SG.LAW.INDX.","Time.required.to.start.a.business..days...IC.REG.DURS.","Domestic.general.government.health.expenditure.per.capita..current.US....SH.XPD.GHED.PC.CD.","Domestic.private.health.expenditure.per.capita..current.US....SH.XPD.PVTD.PC.CD.","External.health.expenditure.per.capita..current.US....SH.XPD.EHEX.PC.CD.","Women.making.their.own.informed.decisions.regarding.sexual.relations..contraceptive.use.and.reproductive.health.care.....of.women.age.15.49...SG.DMK.SRCR.FN.ZS.","Women.participating.in.the.three.decisions..own.health.care..major.household.purchases..and.visiting.family.....of.women.age.15.49...SG.DMK.ALLD.FN.ZS.","CO2.emissions..metric.tons.per.capita...EN.ATM.CO2E.PC.","CO2.emissions..kt...EN.ATM.CO2E.KT.","CO2.emissions.from.liquid.fuel.consumption..kt...EN.ATM.CO2E.LF.KT.","CO2.emissions.from.gaseous.fuel.consumption..kt...EN.ATM.CO2E.GF.KT.","CO2.emissions.from.solid.fuel.consumption..kt...EN.ATM.CO2E.SF.KT.","Methane.emissions..kt.of.CO2.equivalent...EN.ATM.METH.KT.CE.","Adjusted.savings..carbon.dioxide.damage..current.US....NY.ADJ.DCO2.CD.","Total.greenhouse.gas.emissions..kt.of.CO2.equivalent...EN.ATM.GHGT.KT.CE.","Nitrous.oxide.emissions..thousand.metric.tons.of.CO2.equivalent...EN.ATM.NOXE.KT.CE.","Individuals.using.the.Internet....of.population...IT.NET.USER.ZS.","Lending.interest.rate......FR.INR.LEND.","International.tourism..number.of.arrivals..ST.INT.ARVL.","International.tourism..number.of.departures..ST.INT.DPRT.","Customs.and.other.import.duties....of.tax.revenue...GC.TAX.IMPT.ZS.","Share.of.tariff.lines.with.international.peaks..all.products......TM.TAX.MRCH.IP.ZS.","Tariff.rate..applied..simple.mean..all.products......TM.TAX.MRCH.SM.AR.ZS.","Taxes.on.exports....of.tax.revenue...GC.TAX.EXPT.ZS.","Taxes.on.goods.and.services....of.revenue...GC.TAX.GSRV.RV.ZS.","Taxes.on.income..profits.and.capital.gains....of.revenue...GC.TAX.YPKG.RV.ZS.","Total.tax.and.contribution.rate....of.profit...IC.TAX.TOTL.CP.ZS.","Birth.rate..crude..per.1.000.people...SP.DYN.CBRT.IN.","by","Country.Code...53"
"AFG","Uncategorized","South Asia",1990,"YR1990","..","..","..","..","..","..","..","..","..","..","..","162.8354","..","102.1866962","380400","241400","9.399999619","0.637270683","..","..","..","25.6","..","..","..","..","..","..","0.210643419","2614.571","1851.835","403.37","278.692","7627.58","23005986.4","12528.0165","2748.1965","0","..","..","..","..","..","..","..","..","..","..","48.88","Country.Code","AFG"
"AFG","Uncategorized","South Asia",2000,"YR2000","..","8.8","..","..","..","..","..","..","..","..","..","153.951","..","104.8563991","377530","149705","7.813","0.369731346","..","..","..","26.3","..","..","..","..","..","..","0.037234781","773.737","498.712","223.687","3.667","9384.18","11219784.4","13530.953","3316.566","..","..","..","..","..","..","..","..","..","..","..","48.021","Country.Code","AFG"
"AFG","Low-Income","South Asia",2010,"YR2010","26.21006854","20.68","42.7","..","..","..","..","..","13985304142","..","479.1866094","113.715","..","102.0458229","379110","1999127","108.0194871","0.267016091","9.169751919","15856574731","543.3030419","28.8","9.5","2.495758057","36.01279831","7.079195976","..","..","0.28998763","8463.436","5870.867","271.358","2299.209","13493.3","203029189.5","17791.3299","3356.556","4","15.61222222","..","..","41.57298152","..","..","0.029470389","3.030144117","2.998966265","35.8","39.829","Country.Code","AFG"
"AFG","Low-Income","South Asia",2011,"YR2011","23.74366399","22.33","43.22201891","9.005012512","..","..","..","..","15646051567","..","519.5018432","107.256","..","100.2244608","379100","2279341.18","109.4211175","0.258687557","8.916793996","17804280538","591.1623465","28.8","9.5","2.890191793","37.76542664","10.89763927","..","..","0.406424217","12240.446","7609.025","308.028","4305.058","13628.233","308762118.8","17981.30729","3390.12156","5","15.14583333","..","..","40.11779461","..","..","0.168341227","2.622424855","2.697366562","35.8","38.75","Country.Code","AFG"
"AFG","Low-Income","South Asia",2012,"YR2012","24.39087363","24.08","69.1","..","..","..","..","..","17448014580","..","559.9243942","100.797","..","97.92594708","379100","1737962.126","116.6607234","0.249988961","7.707800603","20001615789","641.8720338","28.8","9.5","2.267272711","38.89558792","11.05564785","..","..","0.345148783","10755.311","6761.948","308.028","3667","13763.166","284799252.8","18168.86","3423.68712","5.454545455","15","..","..","36.41740275","13.37183","6.95","0.207545504","3.119213993","3.723815707","35.8","37.69","Country.Code","AFG"
"AFG","Low-Income","South Asia",2013,"YR2013","22.81066274","26.17","68.93326569","..","..","..","..","..","17865891705","..","553.6448482","94.429","..","95.33874179","379100","2044188","84.621216","0.241248812","7.12277329","20561054090","637.1650439","28.8","6.5","2.817832947","40.32342148","12.82629299","..","..","0.310341015","10014.577","5749.856","297.027","3942.025","..","277932187.9","..","..","5.9","15.07916667","..","..","34.81926895","13.37183","6.95","0.071547641","2.53572313","3.617021956","35.6","36.67","Country.Code","AFG"
"AFG","Low-Income","South Asia",2014,"YR2014","22.13704137","27.99","89.5","9.961000443","..","..","..","..","17766200461","..","532.3877059","88.061","..","92.64914092","379100","2209428","34.283472","0.232868298","6.882102943","20484873230","613.8563329","28.8","8.5","2.981748104","43.9159317","13.21508121","..","..","0.293946407","9809.225","5108.131","271.358","4378.398","..","285705582.5","..","..","7","15","..","..","31.76700282","..","..","0.114029084","2.550026172","4.876052454","36.1","35.706","Country.Code","AFG"
"AFG","Low-Income","South Asia",2015,"YR2015","20.63432272","30.1","71.5","..","..","..","..","..","17369583838","..","504.7301742","81.693","..","89.95409233","379100","1929907","33.10203859","0.225637519","7.585382331","19907111419","578.4663529","28.8","8.5","3.107937336","47.09899139","9.881884575","..","32.6","..","..","..","..","..","..","354797614.9","..","..","8.26","15","..","..","32.5510719","..","..","0.107259555","2.654241076","5.998665108","36.1","34.809","Country.Code","AFG"
"AFG","Low-Income","South Asia",2016,"YR2016","21.08108621","32.44","97.7","..","..","..","..","..","16840207197","..","475.938905","75.325","..","87.94179015","379100","1917924","29.0108809","0.218437443","8.842616158","19362642267","547.2281102","28.8","8.5","3.120401382","46.6872139","11.64367962","..","..","..","..","..","..","..","..","444220984.8","..","..","11.2","15","..","..","26.37220275","..","..","8.446830089","7.055293341","3.969484823","47.9","33.981","Country.Code","AFG"
"AFG","Low-Income","South Asia",2017,"YR2017","20.46650517","..","97.7","14.89331245","..","..","..","..","17570443654","..","484.0822686","68.957","..","86.0007531","..","1647425","21.46255651","..","9.250468049","20191764940","556.3021385","38.1","8.5","3.42044878","50.66689682","13.03531075","..","..","..","..","..","..","..","..","562839966.2","..","..","13.5","14.83666667","..","..","35.20314119","..","..","0.873636283","8.598224048","4.530615623","71.4","33.211","Country.Code","AFG"
"AFG","Low-Income","South Asia",2018,"YR2018","..","..","98.71320343","..","..","..","..","..","16868790094","..","453.7989596","65.141","..","84.07765608","..","1722612.61","29.5593488","..","..","19362969582","520.8966027","38.1","8.5","..","..","..","..","..","..","..","..","..","..","..","705462033.3","..","..","..","..","..","..","..","17.60328","8.38","..","..","..","71.4","32.487","Country.Code","AFG"
"ALB","Low-Income","Europe & Central Asia",1990,"YR1990","..","..","..","..","..","..","..","..","1591209070","..","484.1590553","17.7766","..","61.99490929","11210","..","..","0.176173011","..","2028553750","617.2304355","59.4","..","..","..","..","..","..","1.678106654","5515.168","2174.531","465.709","2500.894","2546.96","48528756.73","11112.72956","1560.1153","0","1","..","..","..","..","..","..","..","..","..","24.867","Country.Code","ALB"
"ALB","Lower Middle-Income","Europe & Central Asia",2000,"YR2000","24.51536066","39.8","..","..","..","..","..","..","3214185969","..","1040.517279","19.0372","7.12167","59.72358599","11440","136622","0.003","0.187113936","..","3480355189","1126.683318","80","..","30.42416763","..","0","..","..","0.978174681","3021.608","2845.592","22.002","69.673","2608.8","43815650.95","8389.2767","1263.4267","0.114097347","22.1025","..","..","..","37.91373","11.74","..","..","..","..","16.436","Country.Code","ALB"
"ALB","Lower Middle-Income","Europe & Central Asia",2010,"YR2010","17.95584025","65.23","..","..","..","..","..","..","9925300719","5.608942476","3407.219076","19.8208","..","49.47790868","12013.00049","768533","0","0.214897181","..","11926962835","4094.362119","82.5","6","181.3415375","..","2.460509777","..","..","1.578573584","4598.418","3494.651","25.669","429.039","2592.37","110311353.4","8506.996034","1123.5733","45","12.82232989","2191000","3443000","..","0","5.78","..","..","..","40.6","12.001","Country.Code","ALB"
"ALB","Lower Middle-Income","Europe & Central Asia",2011,"YR2011","18.22676618","67.81","..","28.26812553","..","..","..","..","10652360919","1.14388321","3666.659525","20.2754","..","48.11805823","12010","829778.9239","0","0.214099226","18.02201217","12890867536","4437.178067","85.6","6","187.9471436","..","2.31301856","..","..","1.803714725","5240.143","3777.01","29.336","535.382","2618.2937","132181266.6","8712.296365","1134.809033","49","12.4320986","2469000","4120000","4.124213525","10.1574","2.15","0.000912975","55.57162216","14.73724103","38.7","12.1","Country.Code","ALB"
"ALB","Lower Middle-Income","Europe & Central Asia",2012,"YR2012","18.76679918","69.96","99.9","..","33.23205446","27.98992437","6.017247995","12.22688136","10020970292","-0.593904851","3455.02925","20.73","..","47.0330799","12013.00049","814339.7303","0","0.213453235","17.48323382","12319784701","4247.614279","85.6","5","171.283371","..","3.532725573","..","..","1.692908325","4910.113","3157.287","29.336","627.057","2644.2174","130019161.1","8898.640911","1146.044766","54.65595904","10.88034654","3156000","3959000","4.780775738","0","1.65","0.000145911","55.40508211","14.2052561","38.8","12.197","Country.Code","ALB"
"ALB","Lower Middle-Income","Europe & Central Asia",2013,"YR2013","19.56517548","71.78","100","..","..","..","..","..","10635580851","1.702738777","3673.659024","20.5124","5.42662","46.25665586","11873.00049","865848","0","0.21315384","16.50327489","12776277649","4413.081743","85.6","5","188.8929596","..","1.663183928","..","..","1.749211079","5064.127","3333.303","33.003","550.05","..","140543519.4","..","..","57.2","9.826604344","2857000","3928000","4.446122559","7.301587","1.67","0.000246855","54.17478974","14.33115005","31.7","12.257","Country.Code","ALB"
"ALB","Lower Middle-Income","Europe & Central Asia",2014,"YR2014","19.99015369","73.98","100","37.98635483","..","..","..","..","10905481012","1.172590551","3774.693127","20.2948","5.24218","45.77467951","11742.90039","151632","..","0.213076433","18.30194099","13228244336","4578.66672","85.6","5","200.3238678","..","0.798491061","..","..","1.978763312","5716.853","3861.351","58.672","700.397","..","166510281.6","..","..","60.1","8.658617478","3341000","4146000","3.515168688","5.71693","1.25","..","55.58132901","13.81368207","31.6","12.259","Country.Code","ALB"
"ALB","Lower Middle-Income","Europe & Central Asia",2015,"YR2015","19.78022522","75.37","100","..","..","..","..","..","9318268794","0.911923534","3234.720412","20.0772","3.05841","45.55040246","11743.00049","..","..","0.21352426","18.51579605","11386927679","3952.829458","85.6","5","172.214035","..","1.203059435","..","..","..","..","..","..","..","..","177527575.5","..","..","63.2529327","8.725957147","3784000","4504000","3.537969013","5.509901","1.24","1.13E-05","54.62769396","14.91900192","36.9","12.197","Country.Code","ALB"
